#python metaPathwayMap/scripts/metaPathwayMap.py -pwy static/databases/PlantCyc/pathways.dat.cid.all -canopus static/tmp/anthocyanin_canopus_summary_filtered.tsv -jaccard 0.7 -log static/tmp/log2.out
#ExptID	CANOPUS_MostSpecific	MetaboliteMatch	Jaccard	MetabolitesPathway	Network_Component
0_10_scan13108_scans13108-1	Flavonoid_3-O-p-coumaroyl_glycosides	CPD-7117|31463	0.530303	PWY-7260|delphinidin_diglucoside_biosynthesis_(acyl-glucose_dependent)	Component-6
0_10_scan13108_scans13108-1	Flavonoid_3-O-p-coumaroyl_glycosides	CPD-7117|31463	0.530303	PWY-5295|ternatin_C5_biosynthesis	Component-6
0_10_scan13108_scans13108-1	Flavonoid_3-O-p-coumaroyl_glycosides	CPD-7117|31463	0.530303	PWY-5310|superpathway_of_anthocyanin_biosynthesis_(from_delphinidin_3-<i>O</i>-glucoside)	Component-6
0_10_scan13108_scans13108-1	Flavonoid_3-O-p-coumaroyl_glycosides	CPD-7117|31463	0.530303	PWY-5153|anthocyanin_biosynthesis_(delphinidin_3-O-glucoside)	Component-6
0_10_scan13108_scans13108-1	Flavonoid_3-O-p-coumaroyl_glycosides	CPD-7117|31463	0.530303	PWY-7678|anthocyanidin_sambubioside_biosynthesis	Component-6
0_10_scan13108_scans13108-1	Flavonoid_3-O-p-coumaroyl_glycosides	CPD-7117|31463	0.530303	PWY-7261|anthocyanidin_3-malylglucoside_biosynthesis_(acyl-glucose_dependent)	Component-6
0_10_scan13108_scans13108-1	Flavonoid_3-O-p-coumaroyl_glycosides	CPD-7117|31463	0.530303	PWY-5286|anthocyanidin_sophoroside_metabolism	Component-6
0_10_scan13108_scans13108-1	Flavonoid_3-O-p-coumaroyl_glycosides	CPD-7117|31463	0.530303	PWY-5307|gentiodelphin_biosynthesis	Component-6
0_10_scan13108_scans13108-1	Flavonoid_3-O-p-coumaroyl_glycosides	CPD-7117|31463	0.530303	PWY-7458|violdelphin_biosynthesis	Component-6
0_10_scan13108_scans13108-1	Flavonoid_3-O-p-coumaroyl_glycosides	CPD-7139|77838	0.545455	PWY-7260|delphinidin_diglucoside_biosynthesis_(acyl-glucose_dependent)	Component-6
0_10_scan13108_scans13108-1	Flavonoid_3-O-p-coumaroyl_glycosides	CPD-7139|77838	0.545455	PWY-5307|gentiodelphin_biosynthesis	Component-6
0_10_scan13108_scans13108-1	Flavonoid_3-O-p-coumaroyl_glycosides	3457-TETRAHYDROXY-3-METHOXYFLAVONE|57928	0.287671	PWY-7161|polymethylated_quercetin_biosynthesis	Component-7
0_10_scan13108_scans13108-1	Flavonoid_3-O-p-coumaroyl_glycosides	3457-TETRAHYDROXY-3-METHOXYFLAVONE|57928	0.287671	PWY-6064|methylquercetin_biosynthesis	Component-7
0_10_scan13108_scans13108-1	Flavonoid_3-O-p-coumaroyl_glycosides	3457-TETRAHYDROXY-3-METHOXYFLAVONE|57928	0.287671	PWY-7150|polymethylated_quercetin_glucoside_biosynthesis_I	Component-7
0_10_scan13108_scans13108-1	Flavonoid_3-O-p-coumaroyl_glycosides	345-TRIHYDROXY-37-DIMETHOXYFLAVONE|18010	0.310811	PWY-7161|polymethylated_quercetin_biosynthesis	Component-7
0_10_scan13108_scans13108-1	Flavonoid_3-O-p-coumaroyl_glycosides	345-TRIHYDROXY-37-DIMETHOXYFLAVONE|18010	0.310811	PWY-7150|polymethylated_quercetin_glucoside_biosynthesis_I	Component-7
